"","blurb","state"
"28","To end a millennia of war, the planetary powers created a competition to safely distribute resources, Dead Star Runner.",successful
"29","""Division"" takes you back into the origin of Survival Horror, mixing pixel art graphics with deep storytelling and action combat system",successful
"30","Throw shit to enemies, jumping obstacles and live an authentically adventure at the height of your shoes.",successful
"31","SimWorldRPG is an evolving MMORPG (Massive Multiplayer Online Roleplaying Game)idea that requires consistent cooperation between player",successful
"32","A fun and fast way to learn about Native American history in a top-down, 2D arcade-style game for mobile Android devices and Windows.","failed"
"33","My goal is to create a website that shows people how to relive their childhood by showing them how to in a simple and organized way.","failed"
"34","The World of Gaming is changing quickly. I have had my finger on its pulse for years. I want to share what is happening and what will.","failed"
"35","Space Chronicles is a free-to-play MMORPG you can play in your browser.","failed"
"36","A Fairy themed adventure game featuring limitless flying and exploration as you gather items, race, and customize your avatar and home!","failed"
"37","A surreal point n' click adventure where you are the main character. Becoming aware inside the game causes it to turn against you.","failed"
"38","Use your head in FranknJohn, a head-swinging randomly generated smash em'up - now with co-op! Soundtrack by FTL's Ben Prunty.","failed"
"39","[JRPG] The start of an ambitious multi-faceted project from International game developer RPGVIDEO","failed"
"40","This campaign is for Sky Midnight Games' game called Attack of the Enemy Squad, you can help by making out game better by donating!!!","failed"
"41","In The Blind is a 2.5D Adventure,Survival Horror game.","failed"
"42","With our revolutionary Early Access system, we create a huge playground for gamers and a platform to support game developers!","failed"
"43","New Frontier is a minion based game where you the player have the ability to take control of various types of minions to harvest, craft","failed"
"44","An action-packed platforming adventure game that features permanent death, procedurally generated levels, and cooperative multiplayer.",successful
"45","HELP LAUNCH CONQUEST IQ version 2 
BE PART OF CREATING THE ULTIMATE STRATEGY BOARD GAME",successful
"46","BodyFrog is the most similar to a Frog that travels through the galaxy in its spacecraft that allows doing time-space travels",successful
"47","Guide the lost soul, Alma, through the 8 levels of the Aztec underworld in this 2D platformer inspired by Mexican folklore & mythology.",successful
"48","An otome style EXO fangame inspired by their first studio album, ""XOXO (Kiss&Hug)"".",successful
"49","An unbelievable Hourse Racing fantasy simulator.",successful
"50","Virtual Reality game development for everyone. Create your first 4 games, and learn C# with Unity 5.",successful
"51","We are creating a fps, rogue-like rpg based on an ancient Greek myth with a twist of adding a few other myths to it.",successful
"52","I.G. is a luxury gaming lounge in roseville, MN Where EVERYONE will have a great experience with the newest and most exciting games.",successful
"53","Defeat the demon Eurynomos and the horde of lesser demons in this Open World FPS.",successful
"54","2D Super Hero Side Scrolling RPG with local 2 player coop and fully customizable heroes and secret bases!",successful
"55","The J64 allows both Japan and North America region games to be played on the same Nintendo 64 console.",successful
"56","Nimbus is a science fiction based card game that's ready to add card art and multiplayer! Try out the demo for free!",failed
"57","Indie Horror Game which explores various themes, such as religion, commitment and isolation.",failed
"58","A completely open-world zombie survival FPS. Interaction is unlimited, and a massive world meant for complete exploration.",failed
"59","Nereus Unbound - Build, Explore & Thrive in a massive, open world designed to emulate the relaxed tone of our favorite classic RPG's",failed
"60","Run from the cops in this “temple run for belligerent college party-goers” mobile game, complete with all-night chaos and debauchery.",failed
"61","Event agency specialised in Lan eSport events. Supporters of smaller developers, financial, etc.",failed
"62","Anathema Gaming is a place where Friends, Family, Guild and Clan Members can hangout and play games together.",failed
"63","A brand-new, fully-fledged 2D JRPG adventure coming to the Nintendo 3DS.",failed
"64","A robot rebellion. Humanity driven to near extinction. Time to give up? No ... time to step up. Time to save the world.",failed
"65","ALK Digital is releasing an exciting new trivia challenge game, “Insult Trivia”. Play this game, and you will get very insulted!",failed
"66","Pilot a physics-driven massive robot in a destructible sandbox city, take full control by yourself or with up to 4 players!",failed
"67","Infiltrate Russia’s top secret numbers stations. Sneak, sabotage, and explode your way to uncover the truth. Trust no one.",failed
"68","Playstation, Xbox, Wii, and other gaming units in a mobile rental. Perfect for any event without the set up or clean up. Let's game!",failed
"69","Signi is an Action, Strategy, FPS Video game! It features multiplayer PVP and will be published on Steam in the future!",successful
"70","RAIL GUN: Experience FPS Games the way they were meant to be played",successful
"71","We proudly present you Haven's story: Timeres Otium.
You're haven, your soul has been taken from your body and you must get it to win.",successful
"72","You know you shouldn’t be there, but you are compelled to collect everything on your list. You are The Very Organized Thief!",successful
"73","We are trying to build a simple application designed to help model, model, and implement unique weapon ideas in an easy-to-use way.",successful
"74","A real-time physics based puzzle strategy game where the aim is to draw lines in order to get to the next level.",successful
"75","A Top-Down open world 2D RPG with visuals comparable to old-school games like Final Fantasy and a fast-paced Active Battle System.",successful
"76","JapaneseQuest is a language-learning role-playing game for the PC that teaches you Japanese as you adventure in an immersive world.",successful
"77","A Multi Platform Gaming Community By Gamers for Gamers",successful
"78","Help us create a community for gamers, by gamers. Let's Plays, Machinima, Reviews, and much more!",successful
"79","I need a copy of RPG maker MV to finish this game, and I don't want to invest if no one is interested. It's pretty expensive.",successful
"80","HELL24 is the Point & Click Horror Game based in our very near future. Is Secret Service a good job for you?",successful
"81","A fast paced sci-fi halo styled fps game. With tons of unique elements such as momentum based teleportation and anti gravity bubbles!",failed
"82","A spell casting game for virtual reality. Survive waves of enemies, fight fearsome bosses, and learn powerful spells.",failed
"83","In an 8-bit world, where the shadows are your only friend and puzzles abound, a single arrow is the difference between life and death.",failed
"84","Manage troops of minions through tactical fighting grounds.",failed
"85","World of Music is a 3D Mario64 Style platformer with interesting storyline offering mini-games and interesting puzzles to solve.",successful
"86","ButtonMasher is a Simon clone (in an arcade setting) with awesome sound effects, sweet animations and online play.",successful
"87","A PC/MAC first person survival horror game. Make your own choices, decide who you want to become. www.UndoneProjectNightmare.com",successful
"88","Startup Indie game studio, first game will be ""The Game I Always Wanted to Play But No One Made"".","failed"
"89","An overhaul of traditional 3D video game audio design, Dark Passage and the RELESS Engine aims to revolutionize sound in video games.","failed"
"90","Our swamp is in jeopardy... Help our frog heroes overcome insurmountable odds, defeat powerful adversaries and save the day!","failed"
"91","Spectacular golf course perfectly integrated with city. Players play ultimate course & try to solve mystery in time 2 save millions.","failed"
"92","Memes Wars Is About The Epic Battle Of 2 Roomies Who Want To Complete Their Assignments
Get Your Copy Just $5 usd","failed"
"93","BEZDOKU is revolutionary new VIDEO GAME that helps to keep your mind AWAKE at all ages.","failed"
"94","A 2D top view style 3D plat-former within a small insect world, starring a ant inventor with cool gadgets.","failed"
"95","Come relive your conquests! Play your favorite battle at it's real location! Learn the real history behind them!","failed"
"96","Itsy Bitsy Spider is a fast paced, easy to play difficult to master arcade platformer for iOS and Android.","failed"
"97","A tasteful game that takes a deep look at mental illness. It has cute characters and environments, though the meaning isn't trivialized","failed"
"98","Zombie Bunnies is a multi-player game where you play as a Zombie Bunny or a turtle. This is unlike any Zombie game you've ever played.","failed"
"99","A story heavy RPG I've had on my mind for a while now. I finally found the right platform to get the story out there.","failed"
"100","You love Super Mario,Incredible Machine or Limbo? This game is for You! Step into the Enchanted Kingdom, be a hero by using your brain!",successful
"101","The first Role Play Game to bring intense First Person Shooter action to the episodic, narrative genre.",successful
"102","Witch's Coven is a story of how a girl named Sangita works to discover herself in the broken mythical world, Magus Regni.",successful
"103","An role playing game made with Rpg Maker XP. An young boy is transported in the past to save the sacred kingdom of Sarook.",successful
"104","Tiny Biome is simple online game. Chase, hunt, attack, or befriend other tiny organisms in an attempt to dominate the primordial soup!",successful
"105","The worlds first futuristic virtual reality racing simulator.",successful
"106","Beta test in Mozambique for innovative Windows and OS X computer game sharing best practices for reducing human and wildlife conflict!",successful
"107","With help from a leading shark expert, we're using emerging virtual reality technology to explore sharks in a fun, immersive way.",successful
"108","A game that combines all the best of the RPG genre and turns it on its head to make something amazing. It Should be a good thing!",successful
"109","Tower Tycoon is a high-rise building and business management simulator.",successful
"110","A point 'n click game mixing up hard boiled detective stories, lovecraftian horrors and dark humor in an intriguing mysterious story.",successful
"111","My venture is for my very own 2D & 3D Gaming Studio i have been developing my own games for the last 4 years.",successful
"112","Sena of Autland didn't think that she was going to wake up locked in a tower by a crazed wizard. Die in distress? Perish the thought.",successful
"113","Cave Bro is an entertaining mobile game designed to help kids become more active while learning about nutrition and exercise.",successful
"114","A fantasy, interactive story, relationship management, lying simulator of a game.
How many masks can you wear?",successful
"115","Zepto Racer 3 is a game about Fast paced racing with combat, destructible and changeable tracks, customizable cars, and more.",successful
"116","A mysterious ship crashes outside your home.
The goal is simple, the game is hard.
Reach the centre.",successful
"117","Have fun Designing, Creating and Maintaining a Solar Project while learning basic solar principles.",successful
"118","Online game with real printed cards to collect all decks.",successful
"119","a place for the younger generation in the community to grab a snack unwind play some games in a safe & fun atmosphere!",successful
"120","Ever wanted to be there when Jesus was crucified?
Ever wanted to watch Every key moment in HD detail?
Now is the time with my HD APP.",successful
"121","Markiplier Fan Game that has been in the works for almost 2 years now! We're looking for funding to hire an animator!",successful
"122","A complete tournament And event system for everyone to compete in, involving ALL video games from all systems new and old.",successful
"123","We re-invent ShowMatch !",failed
"124","Inspire the next generation of explorers and scientists with a sandbox game simulating experiences of a manned lunar base.",failed
"125","Every wanted to be a Panda? Love paintball or platformers? We've got your back, Paintball Panda introducing all hand drawn artwork.",failed
"126","The King's men are missing! Rescue them to help The King fight enemies and traverse obstacles in this chess-inspired puzzle platformer!",failed
"127","A Dark MMORPG currently in it's inception stage capable of expanding to fit what the gamer community is looking for.",failed
"128","To Stream games and entertain the masses",failed
"129","A gaming space that will create the world's best competitive gaming community and combat poverty in Miami. #SmashTheSlumlords",failed
"130","Play as the last surviving Space Marine in this 2-D survival-horror RPG, as you battle waves of deadly alien creatures.",failed
"131","Now you can quickly make ""first-person perspective"" maze video games that will challenge players in engaging and constructive ways.",failed
"132","Psychological Action Horror with live actors. Your world is shaped by what you believe!",failed
"133","Small team here in Fairbanks trying to create a safe fun place for people young and young at heart to game.",failed
"134","A heroic old school computer roleplaying game combining a first person dungeon crawler with turn based third person tactical battles!",failed
"135","FPS/RPG level up system, Zombie meets Lost world game.",failed
"136","Improve graphics and add detailed analysis to existing chess apps on iTunes and Nook. Search '101 chess' on iTunes to see example…..",failed
"137","Vanguard V is a fast-paced 3rd person rail shooter, designed for Virtual Reality headsets. Fly into the planet's core!",failed
"138","A game about saving a man somewhere in the universe called ""Snoop"". Play as sir Cory and find snoop in the beautiful places of Portugal",failed
"139","A unique platform game. Control two characters and don't disconnect their spheres! Collect coins and keys, gain gems and buy power-ups!",failed
"140","Holy Ship is an arcade space shooter with unique features.
Both casual and hard-core gamer will enjoy this game.",failed
"141","The Wanderer is an open world game about remembering who you are/were. Beautiful landscapes and puzzles along the way.",failed
"142","The game has never been so close. See through the eyes of the QB. The most advanced sports gaming project ever created.",failed
"143","A complete game, and a great learning opportunity for aspiring web/game developers. Learn how to build it, and have fun playing it!",failed
"144","I need $400 to create my video game merchandise company, Smell Ya Latr. You give me money, You smell like Pizza. Win-win situation.",failed
"145","Story-driven farming RPG for PC/Mac/Linux. Immersive gameplay and deep dialogues with a hint of The Sims and Harvest Moon.",failed
"146","Pick a country, defeat your enemies, rapid fire miniature dolphins-of-war, and satisfy your urge to conquer the world!",failed
"147","In this Survival Horror game set in Centralia PA, play as a reporter looking for her scoop by visiting town, only to find terror.",failed
"148","Creating a old style RPG, that is long, detailed and very fun
turn based battles, side quests and arena's and more",failed
"149","We are a group of friends who launched a Gaming Channel on YouTube in May. We are looking for equipment to make our dreams come true",successful
"150","Finally the most fun and ridiculous RPG you have been waiting for. You do know RPG means Raging Poop Grenade, right?",failed
"151","STARMETAL is an arcade vertical scrolling 3D shooter. It is a homage to the games Tyrian, Raptor and Axelay.",failed
"152","A platform game that's really good to play and one you won't forget playing ever. Funny, highly entertaining and slightly offensive.",failed
"153","Cannibal Fever is a Zombie Real Time Strategy (RTS) Game with big name American Voice Talent, Live Action Videos & uses Motion Capture.",failed
"154","Final Fantasy 7 Player Progression strategy meets FF Tactics combat meets Table Top Pathfinder class customization in an MMO-RPG world.",failed
"155","An atmospheric platforming game of a young prince trying to save his father, the King, and restore color to the world.",failed
"156","This is a game that will not only provide entertainment, but will provide players with the chance to exercise their intellect.",failed
"157","A sci-fi exploration RPG for PC/Steam with nihilistic themes and challenging gameplay. There are also aliens.",failed
"158","An open world 2D indie game set in the Medieval Era - Filled to the brim with Evil Mobs and Sorcery",failed
"159","Help release THE HUNT w/ improved visuals and puzzles! Plus hand-drawn animation and is 100% free! Money will be used future games too!",failed
"160","Do you like to play a game that is modern, yet brings fond memories to mind? If so, read on and hopefully you'll want to help.",successful
"161","Ein 2D, Sci-Fi, Adventure mit RPG Elementen.
A 2D, Sci-Fi, Adventure with RPG elements.",successful
"162","""Hatch-It!"" is a charming and whimsical 3D puzzle game where you must work fast, smart, and diligently to forever change the world.",successful
"163","Become a part of this thrilling Adventure Game about the REAL, legendary treasure hunt on Oak Island, Canada!",successful
"164","Little Player is a bi-monthly magazine that provides a safe, fun, ad-free reading experience for the 7 to 12 year old video gamer.",successful
"165","Learn languages without even trying, by fighting off an alien invasion the words just seep into your head!",successful
"166","A new style Tower Defense game with FPS elements, morphing towers and endless possibilities.",successful
"167","Legend of Elanor is an RPG story-driven PC game.
Will Estoladir save the world of Elanor?",successful
"168","VernuS 2442 is an Indy game in development that combines the style of a classic top-down 2D Shooter with added RPG Elements..",successful
"169","A team-based multiplayer stealth horror game influenced by the slasher movie genre and classic FPS and stealth games of the 90s and 00s",successful
"170","A fighting game currently in development for PC, designed with fun in mind with Smash Bros. like game mechanics.",successful
"171","Iconoclast is an action adventure Rpg game for pc. Very similar to Zelda games of the past, But much bigger and more challenging!","failed"
"172","Zombie Office is a retro, top-down 2D RPG game set in an office where the staff are mysteriously being turned into zombies.","failed"
"173","Hello, Neighbor! is a first-person tactical thriller puzzler with a tricky self-studying A.I. as an opponent for PC, PS4 and XBOX ONE.","failed"
"174","If this game gets funded you will be able to enjoy top down fast pasted game play that lets you build walls and turrets!","failed"
"175","Public release of a DRM-free LAN/online multiplayer VR game that is stand alone or integrates with the physical flight simulator unit.","failed"
"176","Cosmokron is an Action RPG space game with a randomly generated universe but will also have a main storyline and side quests.","failed"
"177","A Challenging Puzzle Platformer for PC and Android","failed"
"178","Get involved in a funny, yet heart touching story. Join up with Olucia's new Relic technology, and help find the stolen ones!","failed"
"179","I want to create the BEST horror game anyone has ever played. One that leaves an uncomfortable feeling of not being alone afterwards.","failed"
"180","im recreating a game i use to play called endlessages with a new game engine and adding alot more the to game.","failed"
"181","A new Sandbox MMO powered by the 9A Octxel Engine!","failed"
"182","An unique open world sandbox survivor game.
The enemy??? Dinosaurs !!!","failed"
"183","Meow!! Cat Box is a simple and clever card game, about cats and the boxes they love! It's almost purrfect!","successful"
"184","A fast, fun, easy-to-learn, and easy-to-play strategic card game for the whole family.","successful"
"185","An awesome place to play games, make friends and have some great food and drinks!","successful"
"186","Trenchworx is excited to launch our third Kickstarter campaign: Tanks on the Western Front in 28mm!","successful"
"187","Soundscapes in and around a mysterious borderlands castle and manor to bring your fantasy adventures to life.","successful"
"188","‘Firespitter’ the Goblin Flamethrower. The first miniature for the upcoming fantasy game Moonstone.","successful"
"189","Pine Tar Baseball is a fun and fast paced dice and card game for 1 to 2 players. The game features fast streamlined game play.","successful"
"190","A range of 28mm figures to cover the Boxer Rebellion including the famous Siege at Peking immortalised in the film 55 days at Peking.","successful"
"191","Dice created to ensure that things escalate quickly! Made from the finest 6061 Aluminum, the Fibonacci dice go from oh to OH!","successful"
"192","One of several Content Drives to help fund the creation of professional third-party content for use in Battlegrounds virtual tabletop.","successful"
"193","In Risky Adventure each player plays as a team of 3 adventurers, exploring undiscovered land and earning fame along the way.","successful"
"194","Explore Meridian through journeys of wonder and magic, against a backdrop of dreamlike locations and colorful characters.","successful"
"195","Build railroads through France. Manipulate the market and collect stock in the most valuable train routes to win.","successful"
"196","24x36 inch double-sided deckplan poster & matching resin miniature - a versatile, heavy corvette for your science-fiction / space RPG.","successful"
"197","We're working with several different color variations of the beautiful stone, Cat's Eye! Available in Polyhedral sets, d6's, & d20's!","successful"
"198","-Completely handmade 32mm little party miniatures
-Cast in resin, unassembled and unpainted
-Perfect for tabletop games like DeD","successful"
"199","To Windward - The Lunar Islands is a 2-4 person competitive, historical Euro-style tabletop game inspired by the Golden Age of Sailing.",failed
"200","A story-telling card game of melodramatic sci-fi adventure.",failed
"201","1-5 Player Miniatures Action Game Starring Bruce and Brandon Lee (Officially Licensed!) This is a martial arts movie come to life!",failed
"202","Magic and mineral pools for RPGs, skirmish war games, etc.",failed
"203","In the dark lands, YOU command the hosts of man and beast that your ancestors once did for power, glory or just to survive...",failed
"204","We want to create an amazing Dwarf team, full of character and a with a very sporty look. Join us in this exciting project!!!",failed
"205","Add some heft and beauty to your game table with a 35mm Mega Gemstone d20. Available in 5 stones, and stretch goals for more!",failed
"206","A history-based card game that lets you test your skills as you quest to develop the most vast and cultured empire in all of history.",failed
"207","Enjoy some random games that we pulled from the depths of time and space.",failed
"208","Wet Blanket is a table top card game for 2 to 8 players where you try to collect people by making them leave a party.",failed
"209","5x5 RPG map tiles for 5th edition or other roleplaying games and miniature wargames. Create your own role-playing dungeons and maps.",failed
"210","Complete your Folio adventure collection with added digital content in both 1E & 5E game mechanics.",failed
"211","Beautiful Laser Cut Wood Dominoes, Customized Word Prompt On Each. Get Social, Play A Game. Functional, Sustainable, Art. No Plastic!!!",failed
"212","Use your money and power to advance your political agenda in this quick and fun 2-player card game from the designer of Biblios.",failed
"213","So what restaurants do the supernaturals go to? What movies and games are popular? The world isn't all secret battles.",failed
"214","SciFi planetary starport soundscapes from the far future to bring your tabletop games and adventures to life! By Darkraven Games",failed
"215","Are you resourceful enough to overcome challenges and earn your name as a warrior on the mythical Isle of Silence?",failed
"216","Welcome to the best Catan experience around.

With our all-wood interlocking design, you will never want to use cardboard again.",failed
"217","An explosive wrestling card game for two players with tag team expansion. Designed by Ryan Cowler with art by Shaz Yong.",failed
"218","30min competitive Card Game of intrigue, betrayal, and victory in Ancient Rome. 2-4 players fight for favor in the Emperor's court!",failed
"219","Reward awesome players with awesome rewards.
Inspiration Cards let your players know you love them.",failed
"220","We are organizing the Adventures League content at Carnage. We are trying to bring a special ""EXPerience"" to Carnage!",failed
"221","This hilarious and competitive team-based party game will add excitement to any occasion w/ it's 70+ unique challenges. For 6+ people.",failed
"222","The first of a 4 part series of adventures for 5E RPG's, Whispers of Starfall brings an old school flair to the new school ruleset.",failed
"223","Please support Ultimate Karma app, we need funds to improve game significantly, this free app is for world peace and happiness.",failed
"224","A YouTube Series staring Greg, an average video game, anime, cartoon enthusiast with a powder keg of emotion ready to explode.",failed
"225","A London factory worker falls into a cycle of psychological trauma as he struggles to make any connection with the world at large.",failed
"226","We fall in and out of love. We fall down and get back up. Life often feels like a series of tumbles, but love keeps us moving forward.",failed
"227","Hank and Sid are fed up with dilettante theater. They're determined to create uncompromising art. The only problem is everything.",failed
"228","A short film about love...",failed
"229","An airhead beauty is transformed by her vision of dancing and singing food. We're aiming to bring awareness to our relationship to food",failed
"230","A short film about two struggling mimes who must compete with a street magician in order to keep their home.",failed
"231","A children's comedy which follows the crazy adventures of siblings Charlie and Eleanore on their noble quest for some pizza.",failed
"232","A two-part, live-action, comical short-film series about a writer struggling to keep his head from getting in the way of his heart.",failed
"233","Solitude' is a period drama set in the early to mid 1900's and has been envisioned to be stylised with noir elements of filmmaking.",failed
"234","A psychological thriller following a now-single mother struggling with the truth behind her husband’s disappearance.",failed
"235","A pianist who's lost her hearing is visited by a deaf man who wants her to teach him a piece of music.",failed
"236","A film about the art that changed a drug dealers life and how it saved his relationship with the love of his life.",failed
"237","A young woman in the near future is seduced by the idea of becoming aesthetically perfect through a controversial surgery...",failed
"238","Imagine a world where no one has ever seen the sky. How far would you go to learn the truth? What would you risk to be free?","successful"
"239","Two unstable young adults run a drug deal for the mob. But will their ability to control the elements be a help or a hindrance?","successful"
"240","An unannounced visit from a past love, shakes up two best friends. Forcing them to face love, each other, and themselves.","successful"
"241","A pharmaceutical rep with a secret is offered his own public access show. All he needs now is a knockout mouse.","successful"
"242","A government department is clamping down on rogue religions. But The Orona, a dangerous cult, have plans to ensure their survival.","successful"
"243","A minimalistic, stylish retelling of the classic biblical tale told from the perspective of a mysterious stranger and a young stripper.","successful"
"244","Jessica upon hearing of a nearing apocalypse begins to lose hope for her future, but easy going Randy helps her rediscover her dreams.","successful"
"245","Through three vignettes, viewers become privy to the goings-on of an apartment building.","successful"
"246","3D printed guns tear a family apart as a recent college grad looks to enact revenge on his sister's murderer.","successful"
"247","While awaiting rescue, a jaded plane crash survivor fights to keep a dying little boy awake.","successful"
"248","The Creek is the story of Alice, a photography student with a tight deadline and Joseph, a loner with unclear intentions.","successful"
"249","I live in a reality I don't understand. The only friends I have to help are only visible to me. Why don't I have control?","successful"
"250","This is a young girl's journey dealing with her first loss. Her best friend moves away and she has to find confidence within herself.","successful"
"251","A short film about the struggling life of a young painter as he tries to follow his dreams until an unexpected event changes everything","successful"
"252","A SHORT FILM, IN VERSE & SONG.","successful"
"253","TRUE CRIME + BUDDY FLICK + HUMOR + PULPY + CAPER","successful"
"254","A short period film. Reverie tells the story of two young men in the 1920s, brought together by their love of the piano.","successful"
"255","Inspired by real events, a journalist covering the aftermath of an airstrike in the Middle East is taken captive by angry militants.","successful"
"256","Award winning film maker Jaine Green writes and directs Cherry Cake, a short British drama that does not shy away from controversy.","successful"
"257","Night Light is a romantic comedy about two people who decide to move from ""sleeping together"" to literally sleeping together.","successful"
"258","A short film about a soldiers reintegration back into society following a tour in Afghanistan, highlighting the problems he faces.","successful"
"259","The film has been made by two 15 year old film students, and it needs the copyright for some brilliant music.","successful"
"260","August, a capable young fugitive, chooses love over security and ultimately pays the price.","successful"
"261","Little is a coming-of-age comedy short film that tells the story of two unlikely friends.","successful"
"262","A true to life journey into the horrors of drinking and driving... and how life can change in an instant.","successful"
"263","The Tale of The Hobo and The Hooker on the last day of life as they know it.","successful"
"264","Erik, doing a favor for a friend, dives into an illicit world where he is constantly confronted with memories of his recent breakup.","successful"
"265","Inspired by duct tape, Archer, pursues his dream girl, Amanda. With a surprising twist, they become 'stuck' together in love!","successful"
"266","A gallery employee finds an invitation to a high society lounge, soon finding herself swept into a fine art heist on one surreal night.","successful"
"267","A short film about Tenderfoot, an indie-folk band whose strong minded front woman Rosie, is struggling with their low key success.","successful"
"268","Metamorphosis is a short science fiction thriller, from students at the University of Gloucestershire.","successful"
"269","In protecting some people's freedom, we infringe upon the freedom of others. Let's take a look at this.","successful"
"270","Our aim is to produce two near future war cinematic shots that capture a snapshot into this new world.","successful"
"271","Mike, a young columnist for the BuzzFeed-like website, ClickZilla, 
investigates a mysterious online entity – HellpfulHands66.","successful"
"272","A Pizza-Wave Dark Comedy.","successful"
"273","Due to the frequent absence of her mother, a young girl becomes lost in the world of her imagination.","successful"
"274","Frank, an arrogant and selfish son of a wealthy hotel owner, is given an ultimatum - drive Valet for his father's hotel or be cut off.","successful"
"275","A coming-of-age film about an odd gang of friends who learn the intricacies of the personalities around them and the secrets they hide.","successful"
"276","A film mixing illusion & reality, telling the story of ALS diagnosed sports coach Jeff Fogel, who uses his imagination to stay positive","successful"
"277","A film about a young woman struggling with family, cultural relevance, and the temptations of the modern world.","successful"
"278","A homeless man stumbles on an abandoned house in the woods and encounters an evil, strangely familiar presence there.","successful"
"279","The story of Colin, a failed magician who one day actually becomes magic.. And accidentally makes his assistant disappear, forever.","successful"
"280","As a young couple grapples with what it means to become parents, life takes an unexpected turn.","successful"
"281","After Shock, an apocalyptic action-thriller short film shot on the RED, needs your help to record the music for its stunning score!","successful"
"282","Amid rising xenophobia, Maja learns the price of being different.","successful"
"283","I'm raising funds to help with my film project this summer in Paris! All money raised will go towards film and a film camera!!!","successful"
"284","Our first short film adapted from Charlie Fish's short story Death By Scrabble. Money pledged will contribute to production fees.","successful"
"285","A short film about a former husband and wife in the same assisted living home contemplating ""breaking out"" and heading for Mexico.","successful"
"286","We are three filmmakers who are venturing out on a four-week effort to explore America's great landscapes and people.","successful"
"287","Sparrow and I are a little loose on change for this adventure through Asia we are about to embark on. We would love your help!","successful"
"288","A driven private investigator finds witnesses to help exonerate a man from Louisiana's state prison nearly 20 years after his arrest.","successful"
"289","Join the fight of the inhabitants of Halkidiki by participating to this documentary adventure ! Rejoignez la lutte SOS Chalcidique !","successful"
"290","A Documentary Dedicated to Stopping Donald Trump","successful"
"291","A documentary that explores education inequality as a global issue in black communities.","successful"
"292","This is my first time traveling to a Pro Tour for the card game Magic the Gathering. Donations will help fund the epic journey ahead.","successful"
"293","A short documentary about a young, mixed-race woman exploring the world of the modern-day Ku Klux Klan and other White Nationalists.","successful"
"294","I'm easily motion sick but I want to fly a jet fighter without vomiting all over myself and I want to film this with a GoPro camera!","failed"
"295","Help our business grow and reach many more! :)","failed"
"296","Spread the Word is a business set up to help Christians witness to others with T-Shirts, website, and guidance.","failed"
"297","As an aspiring fashion designer, I hope to launch my first line of swimwear in the beginning months of 2017!","failed"
"298","YEMA is an innovative, athletic/sports fashion brand. Our designs are a walking art. Our products are proudly made in the USA","failed"
"299","My first release was great and I'm getting back at it! I want to bring more RAD gear to you and the world.","failed"
"300","I think we can all agree that 2016 has been a bumpy ride for everyone. From the US Election to Celebrity deaths to Brexit and Clowns.","failed"
